elapsed_s,stage,epoch,step,split,loss,ppl,lr,grad_norm,tokens_per_sec,gpu_mem_gb
55.4,stage1_scratch,0,0,train,2.6153,,0.0002999999999999999,0.0,0,17.9
55.4,stage1_scratch,0,0,val,2.7628,15.84,,,,
65.8,stage1_scratch,0,1,train,2.8124,,0.00023249999999999996,5.655,9115,44.8
65.8,stage1_scratch,0,1,val,1.6273,5.09,,,,
77.5,stage1_scratch,1,2,train,1.7676,,9.750000000000001e-05,1.176,4905,50.4
77.5,stage1_scratch,1,2,val,1.4749,4.37,,,,
86.4,stage1_scratch,2,3,train,1.8291,,2.9999999999999997e-05,0.61,6427,50.4
86.4,stage1_scratch,2,3,val,1.4492,4.26,,,,
89.5,stage1_scratch,2,3,train,nan,,2.9999999999999997e-05,0.61,18530,50.4
89.5,stage1_scratch,2,3,val,1.4492,4.26,,,,
105.5,stage2_self_instruct,0,0,train,2.5847,,4.9999999999999996e-05,0.0,0,50.4
105.5,stage2_self_instruct,0,0,val,2.5558,12.88,,,,
270.8,stage2_self_instruct,0,20,train,1.9851,,0.00029687452289754604,0.243,7528,50.4
270.8,stage2_self_instruct,0,20,val,1.6868,5.4,,,,
442.4,stage2_self_instruct,0,40,train,1.5938,,0.00028191342951089924,0.181,6682,50.4
442.4,stage2_self_instruct,0,40,val,1.5234,4.59,,,,
613.0,stage2_self_instruct,0,60,train,1.5102,,0.0002559489118922852,0.158,6723,50.4
613.0,stage2_self_instruct,0,60,val,1.4487,4.26,,,,
781.0,stage2_self_instruct,0,80,train,1.4699,,0.00022142464655971572,0.18,6834,50.4
781.0,stage2_self_instruct,0,80,val,1.4026,4.07,,,,
951.9,stage2_self_instruct,0,100,train,1.4405,,0.00018158991923973637,0.168,6702,50.4
951.9,stage2_self_instruct,0,100,val,1.3707,3.94,,,,
1127.2,stage2_self_instruct,1,120,train,1.3182,,0.00014019381509476297,0.199,6548,50.4
1127.2,stage2_self_instruct,1,120,val,1.3488,3.85,,,,
1298.3,stage2_self_instruct,1,140,train,1.2592,,0.00010113236982713865,0.153,6694,50.4
1298.3,stage2_self_instruct,1,140,val,1.3355,3.8,,,,
1466.0,stage2_self_instruct,1,160,train,1.2245,,6.808189038630033e-05,0.156,6851,50.4
1466.0,stage2_self_instruct,1,160,val,1.3234,3.76,,,,
1637.0,stage2_self_instruct,1,180,train,1.218,,4.4152955667066594e-05,0.14,6703,50.4
1637.0,stage2_self_instruct,1,180,val,1.3157,3.73,,,,
1808.1,stage2_self_instruct,1,200,train,1.2711,,3.159766126902998e-05,0.135,6703,50.4
1808.1,stage2_self_instruct,1,200,val,1.3093,3.7,,,,
1901.3,stage2_self_instruct,1,210,train,1.2589,,2.9999999999999997e-05,0.133,6155,50.4
1901.3,stage2_self_instruct,1,210,val,1.308,3.7,,,,
1938.6,stage3_tulu,0,0,train,2.2936,,1.1904761904761904e-06,0.0,0,50.4
1938.7,stage3_tulu,0,0,val,2.391,10.92,,,,
3547.4,stage3_tulu,0,200,train,1.5799,,0.00023928571428571426,0.17,7269,50.4
3547.4,stage3_tulu,0,200,val,1.3002,3.67,,,,
5164.9,stage3_tulu,0,400,train,1.246,,0.0002997818698249314,0.127,7091,50.4
5164.9,stage3_tulu,0,400,val,1.1829,3.26,,,,
6783.2,stage3_tulu,0,600,train,1.1828,,0.0002987954609008953,0.142,7087,50.4
6783.2,stage3_tulu,0,600,val,1.143,3.14,,,,
8386.3,stage3_tulu,0,800,train,1.1288,,0.00029701965899564704,0.09,7154,50.4
8386.3,stage3_tulu,0,800,val,1.0922,2.98,,,,
9989.5,stage3_tulu,0,1000,train,1.0855,,0.0002944649413372675,0.098,7153,50.4
9989.5,stage3_tulu,0,1000,val,1.0662,2.9,,,,
11599.8,stage3_tulu,0,1200,train,1.0602,,0.0002911463807553946,0.094,7122,50.4
11599.8,stage3_tulu,0,1200,val,1.0471,2.85,,,,
13202.9,stage3_tulu,0,1400,train,1.0563,,0.0002870835567515557,0.089,7153,50.4
13202.9,stage3_tulu,0,1400,val,1.0281,2.8,,,,
14813.4,stage3_tulu,0,1600,train,1.025,,0.00028230043998014333,0.085,7122,50.4
14813.4,stage3_tulu,0,1600,val,1.013,2.75,,,,
16418.3,stage3_tulu,0,1800,train,1.0067,,0.00027682525082159664,0.085,7145,50.4
16418.3,stage3_tulu,0,1800,val,1.0006,2.72,,,,
18021.2,stage3_tulu,0,2000,train,0.9855,,0.0002706902928822074,0.085,7155,50.4
18021.2,stage3_tulu,0,2000,val,0.9876,2.68,,,,
19632.4,stage3_tulu,0,2200,train,1.0038,,0.00026393176240290027,0.102,7119,50.4
19632.4,stage3_tulu,0,2200,val,0.9766,2.66,,,,
21242.2,stage3_tulu,0,2400,train,0.9697,,0.00025658953470147547,0.105,7125,50.4
21242.2,stage3_tulu,0,2400,val,0.9671,2.63,,,,
22850.1,stage3_tulu,0,2600,train,0.9553,,0.0002487069289083053,0.075,7132,50.4
22850.1,stage3_tulu,0,2600,val,0.9581,2.61,,,,
24454.8,stage3_tulu,0,2800,train,0.9617,,0.00024033045238354157,0.079,7148,50.4
24454.8,stage3_tulu,0,2800,val,0.951,2.59,,,,
26060.3,stage3_tulu,0,3000,train,0.9396,,0.0002315095263237734,0.088,7143,50.4
26060.3,stage3_tulu,0,3000,val,0.944,2.57,,,,
27671.6,stage3_tulu,0,3200,train,0.9825,,0.0002222961941770557,0.073,7118,50.4
27671.6,stage3_tulu,0,3200,val,0.9378,2.55,,,,
29272.8,stage3_tulu,0,3400,train,0.9424,,0.000212744814586658,0.082,7163,50.4
29272.8,stage3_tulu,0,3400,val,0.9305,2.54,,,,
30883.4,stage3_tulu,0,3600,train,0.9273,,0.00020291174067516604,0.074,7121,50.4
30883.4,stage3_tulu,0,3600,val,0.9248,2.52,,,,
32487.1,stage3_tulu,0,3800,train,0.9436,,0.0001928549875611585,0.086,7151,50.4
32487.1,stage3_tulu,0,3800,val,0.9198,2.51,,,,
34088.7,stage3_tulu,0,4000,train,0.9099,,0.00018263389007011106,0.082,7162,50.4
34088.7,stage3_tulu,0,4000,val,0.9164,2.5,,,,
35698.4,stage3_tulu,0,4200,train,0.9371,,0.00017230875265903135,0.068,7124,50.4
35698.4,stage3_tulu,0,4200,val,0.9107,2.49,,,,
37299.0,stage3_tulu,1,4400,train,0.8961,,0.00016194049362027002,0.085,7166,50.4
37299.0,stage3_tulu,1,4400,val,0.9069,2.48,,,,
38909.4,stage3_tulu,1,4600,train,0.8696,,0.00015159028566370442,0.081,7122,50.4
38909.4,stage3_tulu,1,4600,val,0.9028,2.47,,,,
40511.0,stage3_tulu,1,4800,train,0.8928,,0.00014131919499785894,0.073,7161,50.4
40511.0,stage3_tulu,1,4800,val,0.8996,2.46,,,,
42113.7,stage3_tulu,1,5000,train,0.8702,,0.0001311878210393836,0.078,7156,50.4
42113.7,stage3_tulu,1,5000,val,0.8964,2.45,,,,
43721.1,stage3_tulu,1,5200,train,0.9141,,0.00012125593887660349,0.065,7134,50.4
43721.1,stage3_tulu,1,5200,val,0.894,2.44,,,,
45325.0,stage3_tulu,1,5400,train,0.8732,,0.00011158214659660427,0.08,7151,50.4
45325.0,stage3_tulu,1,5400,val,0.8916,2.44,,,,
46932.7,stage3_tulu,1,5600,train,0.8617,,0.00010222351955662232,0.071,7133,50.4
46932.7,stage3_tulu,1,5600,val,0.8883,2.43,,,,
48533.4,stage3_tulu,1,5800,train,0.8753,,9.323527363953896e-05,0.091,7165,50.4
48533.4,stage3_tulu,1,5800,val,0.8873,2.43,,,,
50139.8,stage3_tulu,1,6000,train,0.8751,,8.467043948026933e-05,0.068,7140,50.4
50139.8,stage3_tulu,1,6000,val,0.8839,2.42,,,,
51757.6,stage3_tulu,1,6200,train,0.871,,7.657954958511118e-05,0.08,7089,50.4
51757.6,stage3_tulu,1,6200,val,0.8811,2.41,,,,
53378.4,stage3_tulu,1,6400,train,0.8523,,6.90103401900473e-05,0.062,7076,50.4
53378.4,stage3_tulu,1,6400,val,0.8798,2.41,,,,
54994.6,stage3_tulu,1,6600,train,0.8559,,6.200746961703839e-05,0.078,7096,50.4
54994.6,stage3_tulu,1,6600,val,0.8785,2.41,,,,
56602.0,stage3_tulu,1,6800,train,0.829,,5.5612254790002785e-05,0.075,7135,50.4
56602.0,stage3_tulu,1,6800,val,0.8766,2.4,,,,
58206.1,stage3_tulu,1,7000,train,0.8543,,4.9862427465039105e-05,0.069,7150,50.4
58206.1,stage3_tulu,1,7000,val,0.8754,2.4,,,,
59819.4,stage3_tulu,1,7200,train,0.8516,,4.4791911613132196e-05,0.066,7108,50.4
59819.4,stage3_tulu,1,7200,val,0.874,2.4,,,,
61433.0,stage3_tulu,1,7400,train,0.8426,,4.0430623268784745e-05,0.068,7107,50.4
61433.0,stage3_tulu,1,7400,val,0.8728,2.39,,,,
63050.1,stage3_tulu,1,7600,train,0.853,,3.68042940254671e-05,0.07,7092,50.4
63050.1,stage3_tulu,1,7600,val,0.8717,2.39,,,,
64655.0,stage3_tulu,1,7800,train,0.873,,3.393431921926131e-05,0.068,7146,50.4
64655.0,stage3_tulu,1,7800,val,0.8708,2.39,,,,
66256.4,stage3_tulu,1,8000,train,0.8494,,3.183763169641664e-05,0.07,7162,50.4
66256.4,stage3_tulu,1,8000,val,0.8702,2.39,,,,
67864.6,stage3_tulu,1,8200,train,0.8546,,3.0526601909586564e-05,0.06,7131,50.4
67864.6,stage3_tulu,1,8200,val,0.8694,2.39,,,,
69466.8,stage3_tulu,1,8400,train,0.8572,,3.0008964932180248e-05,0.068,7158,50.4
69466.8,stage3_tulu,1,8400,val,0.8692,2.38,,,,
69733.5,stage3_tulu,1,8430,train,0.8419,,2.9999999999999997e-05,0.073,6448,50.4
69733.5,stage3_tulu,1,8430,val,0.8691,2.38,,,,
